"","fingerprint","minutia","x","y","angle","score_change"
"U209X7I_1_1#v8","U209X7I_1_1","v8",352,219,284,0.03320816
"U209X7I_1_1#v9","U209X7I_1_1","v9",370,278,123,-0.233477409
"U209X7I_1_1#v10","U209X7I_1_1","v10",344,216,113,-0.005803711
"U212X2I_1_1#v0","U212X2I_1_1","v0",373,363,76,-0.153347366
"U212X2I_1_1#v1","U212X2I_1_1","v1",386,370,60,-0.173419128
"U212X2I_1_1#v2","U212X2I_1_1","v2",375,235,359,0.004594585
"U212X2I_1_1#v3","U212X2I_1_1","v3",376,350,311,0.579961232
"U212X2I_1_1#v4","U212X2I_1_1","v4",395,388,242,-0.186985565
"U212X2I_1_1#v5","U212X2I_1_1","v5",404,293,177,-0.104116378
"U212X2I_1_1#v6","U212X2I_1_1","v6",391,338,143,-0.03509216
"U212X2I_1_1#v7","U212X2I_1_1","v7",358,320,123,-0.484933439
"U212X2I_1_1#v8","U212X2I_1_1","v8",426,366,90,-0.239107859
"U214X5I_1_1#v0","U214X5I_1_1","v0",418,279,5,0.073878373
"U214X5I_1_1#v1","U214X5I_1_1","v1",397,297,346,0.073878373
"U214X5I_1_1#v2","U214X5I_1_1","v2",319,258,326,0.078790606
"U214X5I_1_1#v3","U214X5I_1_1","v3",322,327,321,0.016969378
"U214X5I_1_1#v4","U214X5I_1_1","v4",308,297,319,-0.314955167
"U214X5I_1_1#v5","U214X5I_1_1","v5",344,340,319,0.076803611
"U214X5I_1_1#v6","U214X5I_1_1","v6",462,312,190,0.073878373
"U214X5I_1_1#v7","U214X5I_1_1","v7",364,315,148,0.073878373
"U214X5I_1_1#v8","U214X5I_1_1","v8",352,327,139,-0.07769021
"U214X5I_1_1#v9","U214X5I_1_1","v9",289,324,138,-0.314955167
"U215X8I_1_1#v0","U215X8I_1_1","v0",444,329,84,-0.240612323
"U215X8I_1_1#v1","U215X8I_1_1","v1",456,344,78,-0.152627538
"U215X8I_1_1#v2","U215X8I_1_1","v2",437,304,72,-0.471173246
"U215X8I_1_1#v3","U215X8I_1_1","v3",468,268,62,0.435776688
"U215X8I_1_1#v4","U215X8I_1_1","v4",350,274,335,-0.3233233
"U215X8I_1_1#v5","U215X8I_1_1","v5",382,365,124,-0.204145834
"U215X8I_1_1#v6","U215X8I_1_1","v6",430,381,116,-0.521509282
"U215X8I_1_1#v7","U215X8I_1_1","v7",431,340,93,-0.393781596
"U216X4I_1_1#v0","U216X4I_1_1","v0",375,482,76,0.133675324
"U216X4I_1_1#v1","U216X4I_1_1","v1",383,458,72,0.316932732
"U216X4I_1_1#v2","U216X4I_1_1","v2",411,484,58,0.101935735
"U216X4I_1_1#v3","U216X4I_1_1","v3",428,368,52,-0.057584723
"U216X4I_1_1#v4","U216X4I_1_1","v4",415,432,54,0.083925157
"U216X4I_1_1#v5","U216X4I_1_1","v5",407,527,35,0.393788557
"U216X4I_1_1#v6","U216X4I_1_1","v6",437,498,27,0.134346538
"U216X4I_1_1#v7","U216X4I_1_1","v7",391,350,309,0.063304735
"U216X4I_1_1#v8","U216X4I_1_1","v8",517,570,251,0.086403395
"U216X4I_1_1#v9","U216X4I_1_1","v9",455,345,218,-0.033393278
"U216X4I_1_1#v10","U216X4I_1_1","v10",497,600,208,0.012262185
"U216X4I_1_1#v11","U216X4I_1_1","v11",459,574,199,0.310884267
"U217X6I_1_1#v0","U217X6I_1_1","v0",458,399,74,-0.092261484
"U217X6I_1_1#v1","U217X6I_1_1","v1",340,453,47,0.124349905
"U217X6I_1_1#v2","U217X6I_1_1","v2",353,486,41,0.102427156
"U217X6I_1_1#v3","U217X6I_1_1","v3",367,488,26,0.083518718
"U217X6I_1_1#v4","U217X6I_1_1","v4",352,298,327,0.108669513
"U217X6I_1_1#v5","U217X6I_1_1","v5",349,339,289,0.108669513
"U217X6I_1_1#v6","U217X6I_1_1","v6",433,410,260,-0.180905867
"U217X6I_1_1#v7","U217X6I_1_1","v7",474,443,255,-0.177475709
"U217X6I_1_1#v8","U217X6I_1_1","v8",355,433,250,-0.063447777
"U217X6I_1_1#v9","U217X6I_1_1","v9",354,460,236,0.007720103
"U217X6I_1_1#v10","U217X6I_1_1","v10",434,487,120,-0.106902297
"U220X5I_1_1#v0","U220X5I_1_1","v0",303,357,87,-0.424519372
"U220X5I_1_1#v1","U220X5I_1_1","v1",369,325,79,-0.4477397
"U220X5I_1_1#v2","U220X5I_1_1","v2",331,379,74,-0.090810204
"U220X5I_1_1#v3","U220X5I_1_1","v3",358,353,69,-0.436739427
"U220X5I_1_1#v4","U220X5I_1_1","v4",416,390,63,-0.278975114
"U220X5I_1_1#v5","U220X5I_1_1","v5",386,352,67,-0.054382559
"U220X5I_1_1#v6","U220X5I_1_1","v6",343,413,60,0.554380835
"U220X5I_1_1#v7","U220X5I_1_1","v7",383,288,40,-0.522656281
"U220X5I_1_1#v8","U220X5I_1_1","v8",413,403,240,-0.273862612
"U220X5I_1_1#v9","U220X5I_1_1","v9",391,276,195,-0.86389036
"U220X5I_1_1#v10","U220X5I_1_1","v10",339,278,135,-0.09556933
"U221X9I_1_1#v0","U221X9I_1_1","v0",411,412,86,-0.70420932
"U221X9I_1_1#v1","U221X9I_1_1","v1",388,396,86,0.244471762
"U221X9I_1_1#v2","U221X9I_1_1","v2",433,426,78,-0.70420932
"U221X9I_1_1#v3","U221X9I_1_1","v3",400,383,76,0.244168253
"U221X9I_1_1#v4","U221X9I_1_1","v4",381,340,63,0.21751419
"U221X9I_1_1#v5","U221X9I_1_1","v5",394,341,54,0.186054813
"U221X9I_1_1#v6","U221X9I_1_1","v6",374,404,263,0.501134764
"U221X9I_1_1#v7","U221X9I_1_1","v7",398,462,101,-0.160648667
"U223X6I_1_1#v0","U223X6I_1_1","v0",499,478,3,-0.054366282
"U223X6I_1_1#v1","U223X6I_1_1","v1",500,398,355,0.182399653
"U223X6I_1_1#v2","U223X6I_1_1","v2",469,513,0,-0.373644749
"U223X6I_1_1#v3","U223X6I_1_1","v3",489,540,0,0.087802959
"U223X6I_1_1#v4","U223X6I_1_1","v4",507,341,352,0.2366908
"U223X6I_1_1#v5","U223X6I_1_1","v5",371,604,338,-0.281611989
"U223X6I_1_1#v6","U223X6I_1_1","v6",366,579,342,-0.488231511
"U223X6I_1_1#v7","U223X6I_1_1","v7",382,405,333,0.2366908
"U223X6I_1_1#v8","U223X6I_1_1","v8",396,525,337,-0.277239014
"U223X6I_1_1#v9","U223X6I_1_1","v9",416,547,333,-0.24690824
"U223X6I_1_1#v10","U223X6I_1_1","v10",407,589,336,0.266825708
"U223X6I_1_1#v11","U223X6I_1_1","v11",343,566,327,0.022964564
"U223X6I_1_1#v12","U223X6I_1_1","v12",342,538,321,-0.076836731
"U223X6I_1_1#v13","U223X6I_1_1","v13",508,535,166,-0.107310779
"U223X6I_1_1#v14","U223X6I_1_1","v14",391,572,158,-0.322709142
"U223X6I_1_1#v15","U223X6I_1_1","v15",417,521,152,-0.333028008
"U223X6I_1_1#v16","U223X6I_1_1","v16",388,654,157,0.035075421
"U223X6I_1_1#v17","U223X6I_1_1","v17",415,498,157,-0.274685437
"U223X6I_1_1#v18","U223X6I_1_1","v18",389,597,151,-0.144319661
"U224X6I_1_1#v0","U224X6I_1_1","v0",313,472,317,-0.377131239
"U224X6I_1_1#v1","U224X6I_1_1","v1",327,521,309,0.525171839
"U224X6I_1_1#v2","U224X6I_1_1","v2",274,437,300,-0.51163353
"U224X6I_1_1#v3","U224X6I_1_1","v3",325,503,135,0.529408888
"U224X6I_1_1#v4","U224X6I_1_1","v4",306,322,136,-0.300386939
"U224X6I_1_1#v5","U224X6I_1_1","v5",350,477,130,-0.460728321
"U224X6I_1_1#v6","U224X6I_1_1","v6",417,452,124,-0.632946938
"U224X6I_1_1#v7","U224X6I_1_1","v7",435,445,112,-0.296539468
"U225X6I_1_1#v0","U225X6I_1_1","v0",440,476,63,0.649443327
"U225X6I_1_1#v1","U225X6I_1_1","v1",430,414,63,0.286028304
"U225X6I_1_1#v2","U225X6I_1_1","v2",333,583,328,-0.139809252
"U225X6I_1_1#v3","U225X6I_1_1","v3",398,518,252,-0.356340029
"U225X6I_1_1#v4","U225X6I_1_1","v4",471,485,240,0.286028304
"U225X6I_1_1#v5","U225X6I_1_1","v5",458,540,232,-0.343502168
"U225X6I_1_1#v6","U225X6I_1_1","v6",418,551,224,-0.261166973
"U225X6I_1_1#v7","U225X6I_1_1","v7",400,560,216,-0.200255343
"U225X6I_1_1#v8","U225X6I_1_1","v8",421,576,206,-0.233990942
"U225X6I_1_1#v9","U225X6I_1_1","v9",434,598,190,-0.095211059
"U225X6I_1_1#v10","U225X6I_1_1","v10",361,523,124,-0.283592199
"U226X3I_1_1#v0","U226X3I_1_1","v0",445,332,47,-0.279707646
"U226X3I_1_1#v1","U226X3I_1_1","v1",419,288,42,-0.471886528
"U226X3I_1_1#v2","U226X3I_1_1","v2",509,353,39,0.37934823
"U226X3I_1_1#v3","U226X3I_1_1","v3",488,277,38,-0.092951404
"U226X3I_1_1#v4","U226X3I_1_1","v4",523,355,31,0.385830144
"U226X3I_1_1#v5","U226X3I_1_1","v5",464,352,225,-0.077140508
"U226X3I_1_1#v6","U226X3I_1_1","v6",506,360,222,-0.0721589
"U226X3I_1_1#v7","U226X3I_1_1","v7",526,375,218,0.362410827
"U226X3I_1_1#v8","U226X3I_1_1","v8",536,286,216,0.148203851
"U226X3I_1_1#v9","U226X3I_1_1","v9",442,245,218,-0.169992938
"U226X3I_1_1#v10","U226X3I_1_1","v10",491,462,212,-0.361974171
"U226X3I_1_1#v11","U226X3I_1_1","v11",552,411,211,-0.039162416
"U226X3I_1_1#v12","U226X3I_1_1","v12",536,439,194,0.026042526
"U226X3I_1_1#v13","U226X3I_1_1","v13",554,462,185,-0.147978518
"U226X3I_1_1#v14","U226X3I_1_1","v14",508,494,185,-0.357731441
"U227X6I_1_1#v0","U227X6I_1_1","v0",414,405,72,0.031833169
"U227X6I_1_1#v1","U227X6I_1_1","v1",469,302,23,-0.295510433
"U227X6I_1_1#v2","U227X6I_1_1","v2",431,337,17,0.008299923
"U227X6I_1_1#v3","U227X6I_1_1","v3",434,303,10,-0.295510433
"U227X6I_1_1#v4","U227X6I_1_1","v4",408,382,8,0.04320751
"U227X6I_1_1#v5","U227X6I_1_1","v5",409,289,356,-0.165738499
"U227X6I_1_1#v6","U227X6I_1_1","v6",419,258,0,0.01067443
"U227X6I_1_1#v7","U227X6I_1_1","v7",411,331,351,0.076562375
"U227X6I_1_1#v8","U227X6I_1_1","v8",385,377,335,-0.049679678
"U227X6I_1_1#v9","U227X6I_1_1","v9",372,346,325,0.023898001
"U227X6I_1_1#v10","U227X6I_1_1","v10",344,323,317,-0.321929351
"U227X6I_1_1#v11","U227X6I_1_1","v11",289,215,313,0.027881666
"U227X6I_1_1#v12","U227X6I_1_1","v12",321,327,304,0.000533721
"U227X6I_1_1#v13","U227X6I_1_1","v13",466,362,219,0.042922816
"U227X6I_1_1#v14","U227X6I_1_1","v14",457,293,186,0.008764289
"U227X6I_1_1#v15","U227X6I_1_1","v15",400,268,152,0.052600187
"U227X6I_1_1#v16","U227X6I_1_1","v16",455,432,96,-0.017798765
"U227X6I_1_1#v17","U227X6I_1_1","v17",403,415,91,-0.059218175
"U228X3I_1_1#v0","U228X3I_1_1","v0",340,499,70,0.184529833
"U228X3I_1_1#v1","U228X3I_1_1","v1",397,222,34,0.184529833
"U228X3I_1_1#v2","U228X3I_1_1","v2",364,296,21,-0.149783217
"U228X3I_1_1#v3","U228X3I_1_1","v3",380,199,13,0.123955822
"U228X3I_1_1#v4","U228X3I_1_1","v4",402,477,234,0.187810316
"U228X3I_1_1#v5","U228X3I_1_1","v5",423,327,223,-0.641234231
"U228X3I_1_1#v6","U228X3I_1_1","v6",418,379,223,-0.43187732
"U228X3I_1_1#v7","U228X3I_1_1","v7",402,406,216,-0.271869748
"U228X3I_1_1#v8","U228X3I_1_1","v8",396,426,219,-0.029960228
"U228X3I_1_1#v9","U228X3I_1_1","v9",380,308,204,-0.337290768
"U228X3I_1_1#v10","U228X3I_1_1","v10",384,282,207,-0.221576912
"U228X3I_1_1#v11","U228X3I_1_1","v11",381,331,194,-0.256261229
"U228X3I_1_1#v12","U228X3I_1_1","v12",348,179,165,0.166755004
"U228X3I_1_1#v13","U228X3I_1_1","v13",352,283,158,-0.359812364
"U229X2I_1_1#v0","U229X2I_1_1","v0",528,402,46,-0.083765486
"U229X2I_1_1#v1","U229X2I_1_1","v1",359,260,328,0.092091997
"U229X2I_1_1#v2","U229X2I_1_1","v2",371,300,324,0.092091997
"U229X2I_1_1#v3","U229X2I_1_1","v3",323,334,316,-0.042416005
"U229X2I_1_1#v4","U229X2I_1_1","v4",305,226,314,0.027807399
"U229X2I_1_1#v5","U229X2I_1_1","v5",299,278,312,0.027807399
"U229X2I_1_1#v6","U229X2I_1_1","v6",389,377,307,-0.035752885
"U229X2I_1_1#v7","U229X2I_1_1","v7",317,248,307,0.027807399
"U229X2I_1_1#v8","U229X2I_1_1","v8",327,278,308,0.027807399
"U229X2I_1_1#v9","U229X2I_1_1","v9",429,409,307,-0.132179788
"U229X2I_1_1#v10","U229X2I_1_1","v10",350,398,301,-0.035098102
"U229X2I_1_1#v11","U229X2I_1_1","v11",378,482,292,-0.098965381
"U229X2I_1_1#v12","U229X2I_1_1","v12",471,337,157,0.002475421
"U229X2I_1_1#v13","U229X2I_1_1","v13",431,268,145,0.092091997
"U229X2I_1_1#v14","U229X2I_1_1","v14",383,248,146,0.092091997
"U229X2I_1_1#v15","U229X2I_1_1","v15",458,364,139,-0.151262446
"U229X2I_1_1#v16","U229X2I_1_1","v16",324,219,125,0.027807399
"U229X2I_1_1#v17","U229X2I_1_1","v17",452,398,121,-0.135230865
"U229X2I_1_1#v18","U229X2I_1_1","v18",390,475,113,-0.177416622
"U229X2I_1_1#v19","U229X2I_1_1","v19",355,449,116,-0.120003267
"U229X2I_1_1#v20","U229X2I_1_1","v20",373,402,117,-0.143038736
"U229X2I_1_1#v21","U229X2I_1_1","v21",413,428,108,-0.157731136
"U229X2I_1_1#v22","U229X2I_1_1","v22",429,458,103,0.003636253
"U229X2I_1_1#v23","U229X2I_1_1","v23",474,438,100,-0.081579333
"U230X6I_1_1#v0","U230X6I_1_1","v0",422,364,307,0.292749091
"U230X6I_1_1#v1","U230X6I_1_1","v1",335,261,299,0.271769417
"U230X6I_1_1#v2","U230X6I_1_1","v2",391,441,287,-0.014973764
"U230X6I_1_1#v3","U230X6I_1_1","v3",351,409,288,0.7304937
"U230X6I_1_1#v4","U230X6I_1_1","v4",434,408,289,0.18468595
"U230X6I_1_1#v5","U230X6I_1_1","v5",409,449,281,-0.279304788
"U230X6I_1_1#v6","U230X6I_1_1","v6",436,362,121,0.218700288
"U230X6I_1_1#v7","U230X6I_1_1","v7",447,412,105,0.099933182
"U230X6I_1_1#v8","U230X6I_1_1","v8",403,418,100,-0.293649942
"U230X6I_1_1#v9","U230X6I_1_1","v9",488,443,100,0.202491703
"U230X6I_1_1#v10","U230X6I_1_1","v10",514,427,94,0.243714763
"U231X2I_1_1#v0","U231X2I_1_1","v0",453,518,88,-0.346036178
"U231X2I_1_1#v1","U231X2I_1_1","v1",469,529,85,-0.361535919
"U231X2I_1_1#v2","U231X2I_1_1","v2",352,534,81,0.017446629
"U231X2I_1_1#v3","U231X2I_1_1","v3",489,512,63,-0.309515254
"U231X2I_1_1#v4","U231X2I_1_1","v4",477,460,33,0.002194948
"U231X2I_1_1#v5","U231X2I_1_1","v5",430,425,337,-0.128145011
"U231X2I_1_1#v6","U231X2I_1_1","v6",421,500,313,-0.429105348
"U231X2I_1_1#v7","U231X2I_1_1","v7",424,478,315,-0.310815272
"U231X2I_1_1#v8","U231X2I_1_1","v8",427,550,253,0.128126739
"U231X2I_1_1#v9","U231X2I_1_1","v9",365,457,117,-0.008500022
"U231X2I_1_1#v10","U231X2I_1_1","v10",449,556,114,-0.385930915
"U231X2I_1_1#v11","U231X2I_1_1","v11",351,492,96,0.117100871
"U231X2I_1_1#v12","U231X2I_1_1","v12",327,520,97,0.154519653
"U231X2I_1_1#v13","U231X2I_1_1","v13",433,518,92,-0.107156448
"U231X2I_1_1#v14","U231X2I_1_1","v14",359,478,90,0.456852449
"U232X4I_1_1#v0","U232X4I_1_1","v0",351,372,1,0
"U232X4I_1_1#v1","U232X4I_1_1","v1",422,196,355,0
"U232X4I_1_1#v2","U232X4I_1_1","v2",326,391,347,0
"U232X4I_1_1#v3","U232X4I_1_1","v3",373,237,306,0
"U232X4I_1_1#v4","U232X4I_1_1","v4",424,372,220,0
"U232X4I_1_1#v5","U232X4I_1_1","v5",419,405,207,0
"U232X4I_1_1#v6","U232X4I_1_1","v6",399,236,129,0
"U233X6I_1_1#v0","U233X6I_1_1","v0",440,342,58,-0.666212394
"U233X6I_1_1#v1","U233X6I_1_1","v1",470,345,52,-0.369741061
"U233X6I_1_1#v2","U233X6I_1_1","v2",424,286,25,-0.604683334
"U233X6I_1_1#v3","U233X6I_1_1","v3",386,240,12,-0.161220712
"U233X6I_1_1#v4","U233X6I_1_1","v4",360,270,356,-0.242738682
"U233X6I_1_1#v5","U233X6I_1_1","v5",347,298,352,-0.175555482
"U233X6I_1_1#v6","U233X6I_1_1","v6",364,279,173,-0.128448465
"U233X6I_1_1#v7","U233X6I_1_1","v7",378,293,171,-0.008018174
"U233X6I_1_1#v8","U233X6I_1_1","v8",267,267,134,0.320187447
"U236X2I_1_1#v0","U236X2I_1_1","v0",391,363,80,0.195776415
"U236X2I_1_1#v1","U236X2I_1_1","v1",406,395,78,-0.937452448
"U236X2I_1_1#v2","U236X2I_1_1","v2",405,373,67,-0.937452448
"U236X2I_1_1#v3","U236X2I_1_1","v3",348,365,64,0.628426171
"U236X2I_1_1#v4","U236X2I_1_1","v4",387,428,122,-0.937452448
"U236X2I_1_1#v5","U236X2I_1_1","v5",400,425,102,-0.937452448
"U236X2I_1_1#v6","U236X2I_1_1","v6",389,380,90,0.282665609
"U237X1I_1_1#v0","U237X1I_1_1","v0",394,222,353,0.076798218
"U237X1I_1_1#v1","U237X1I_1_1","v1",345,256,336,-0.509078977
"U237X1I_1_1#v2","U237X1I_1_1","v2",279,340,301,-0.345705549
"U237X1I_1_1#v3","U237X1I_1_1","v3",249,461,284,0.21155794
"U237X1I_1_1#v4","U237X1I_1_1","v4",521,250,202,0.139797639
"U237X1I_1_1#v5","U237X1I_1_1","v5",478,218,185,-0.247140845
"U237X1I_1_1#v6","U237X1I_1_1","v6",423,226,176,-0.382797308
"U237X1I_1_1#v7","U237X1I_1_1","v7",355,212,158,0.267298252
"U237X1I_1_1#v8","U237X1I_1_1","v8",375,258,155,-0.205264124
"U237X1I_1_1#v9","U237X1I_1_1","v9",357,273,139,-0.535796293
"U237X1I_1_1#v10","U237X1I_1_1","v10",275,280,124,-0.336864345
"U237X1I_1_1#v11","U237X1I_1_1","v11",297,307,119,-0.2498473
"U237X1I_1_1#v12","U237X1I_1_1","v12",225,448,113,-0.176763395
"U237X1I_1_1#v13","U237X1I_1_1","v13",272,324,109,-0.201696802
"U237X1I_1_1#v14","U237X1I_1_1","v14",297,334,107,-0.184897005
"U237X1I_1_1#v15","U237X1I_1_1","v15",268,393,105,0.468025043
"U237X1I_1_1#v16","U237X1I_1_1","v16",293,440,97,-0.16714053
"U238X1I_1_1#v0","U238X1I_1_1","v0",364,328,86,0.473960468
"U238X1I_1_1#v1","U238X1I_1_1","v1",446,254,40,-0.104665996
"U238X1I_1_1#v2","U238X1I_1_1","v2",404,391,24,0.162285391
"U238X1I_1_1#v3","U238X1I_1_1","v3",385,407,24,0.11455601
"U238X1I_1_1#v4","U238X1I_1_1","v4",413,374,22,0.00989812
"U238X1I_1_1#v5","U238X1I_1_1","v5",444,440,350,0.186849069
"U238X1I_1_1#v6","U238X1I_1_1","v6",464,284,227,0.064101228
"U238X1I_1_1#v7","U238X1I_1_1","v7",463,326,230,-0.228619841
"U238X1I_1_1#v8","U238X1I_1_1","v8",460,266,221,0.109691759
"U238X1I_1_1#v9","U238X1I_1_1","v9",418,308,201,0.079600961
"U238X1I_1_1#v10","U238X1I_1_1","v10",407,278,200,0.24960023
"U238X1I_1_1#v11","U238X1I_1_1","v11",404,229,192,-0.113637412
"U238X1I_1_1#v12","U238X1I_1_1","v12",438,451,179,0.172386403
"U238X1I_1_1#v13","U238X1I_1_1","v13",454,420,179,0.08609915
"U238X1I_1_1#v14","U238X1I_1_1","v14",485,434,173,0.111618635
"U238X1I_1_1#v15","U238X1I_1_1","v15",494,332,117,-0.022271909
"U238X1I_1_1#v16","U238X1I_1_1","v16",370,307,105,0.390803556
"U240X1I_1_1#v0","U240X1I_1_1","v0",444,248,14,0.033323055
"U240X1I_1_1#v1","U240X1I_1_1","v1",520,253,15,0.024359315
"U240X1I_1_1#v2","U240X1I_1_1","v2",421,222,358,-0.004940857
"U240X1I_1_1#v3","U240X1I_1_1","v3",347,287,349,-0.014429164
"U240X1I_1_1#v4","U240X1I_1_1","v4",461,193,197,0.005309825
"U240X1I_1_1#v5","U240X1I_1_1","v5",483,195,197,0.025074105
"U240X1I_1_1#v6","U240X1I_1_1","v6",294,198,191,0.024359315
"U240X1I_1_1#v7","U240X1I_1_1","v7",422,201,186,-0.176801482
"U240X1I_1_1#v8","U240X1I_1_1","v8",386,191,187,-0.033588184
"U240X1I_1_1#v9","U240X1I_1_1","v9",478,219,185,-0.054004154
"U240X1I_1_1#v10","U240X1I_1_1","v10",344,225,179,-0.060047617
"U240X1I_1_1#v11","U240X1I_1_1","v11",404,239,179,0.00814157
"U240X1I_1_1#v12","U240X1I_1_1","v12",391,285,169,-0.060047617
"U240X1I_1_1#v13","U240X1I_1_1","v13",354,304,168,-0.060047617
"U240X1I_1_1#v14","U240X1I_1_1","v14",284,275,166,0.009040243
"U240X1I_1_1#v15","U240X1I_1_1","v15",277,305,156,-0.040550017
"U241X6I_1_1#v0","U241X6I_1_1","v0",572,410,65,0.322989826
"U241X6I_1_1#v1","U241X6I_1_1","v1",618,421,59,0.190906707
"U241X6I_1_1#v2","U241X6I_1_1","v2",630,416,54,-0.027234702
"U241X6I_1_1#v3","U241X6I_1_1","v3",593,381,50,-0.086545248
"U241X6I_1_1#v4","U241X6I_1_1","v4",584,309,25,-0.20624884
"U241X6I_1_1#v5","U241X6I_1_1","v5",542,277,13,-0.618807774
"U241X6I_1_1#v6","U241X6I_1_1","v6",485,239,355,-0.242735692
"U241X6I_1_1#v7","U241X6I_1_1","v7",547,315,188,-0.286533054
"U241X6I_1_1#v8","U241X6I_1_1","v8",482,201,165,0.392475198
"U242X1I_1_1#v0","U242X1I_1_1","v0",491,321,47,-0.252520817
"U242X1I_1_1#v1","U242X1I_1_1","v1",579,396,45,-0.14591526
"U242X1I_1_1#v2","U242X1I_1_1","v2",444,378,38,-0.125861898
"U242X1I_1_1#v3","U242X1I_1_1","v3",442,295,19,0.069345838
"U242X1I_1_1#v4","U242X1I_1_1","v4",524,359,230,-0.132359687
"U242X1I_1_1#v5","U242X1I_1_1","v5",551,389,223,-0.145193433
"U242X1I_1_1#v6","U242X1I_1_1","v6",477,422,224,-0.033706543
"U242X1I_1_1#v7","U242X1I_1_1","v7",573,414,218,0.038903928
"U242X1I_1_1#v8","U242X1I_1_1","v8",476,308,206,0.139795449
"U242X1I_1_1#v9","U242X1I_1_1","v9",454,359,206,-0.134293398
"U242X1I_1_1#v10","U242X1I_1_1","v10",536,485,206,-0.038366812
"U242X1I_1_1#v11","U242X1I_1_1","v11",603,451,198,0.193072331
"U242X1I_1_1#v12","U242X1I_1_1","v12",439,326,202,0.26341039
"U242X1I_1_1#v13","U242X1I_1_1","v13",590,490,190,0.024574147
"U242X1I_1_1#v14","U242X1I_1_1","v14",385,370,155,0.085745513
"U242X1I_1_1#v15","U242X1I_1_1","v15",356,357,139,-0.038123921
"U242X1I_1_1#v16","U242X1I_1_1","v16",362,372,130,-0.029064059
"U242X1I_1_1#v17","U242X1I_1_1","v17",366,385,129,0.042017945
"U242X1I_1_1#v18","U242X1I_1_1","v18",378,411,92,0.02862073
"U245X7I_1_1#v0","U245X7I_1_1","v0",507,419,74,0.107000358
"U245X7I_1_1#v1","U245X7I_1_1","v1",466,385,67,-0.062613483
"U245X7I_1_1#v2","U245X7I_1_1","v2",442,340,30,-0.156524158
"U245X7I_1_1#v3","U245X7I_1_1","v3",367,388,21,0.074342698
"U245X7I_1_1#v4","U245X7I_1_1","v4",418,297,16,-0.033641406
"U245X7I_1_1#v5","U245X7I_1_1","v5",368,270,349,0.212278573
"U245X7I_1_1#v6","U245X7I_1_1","v6",355,347,344,-0.079698217
"U245X7I_1_1#v7","U245X7I_1_1","v7",350,360,345,-0.038414186
"U245X7I_1_1#v8","U245X7I_1_1","v8",357,298,339,0.152245208
"U245X7I_1_1#v9","U245X7I_1_1","v9",299,412,302,-0.029786196
"U245X7I_1_1#v10","U245X7I_1_1","v10",277,388,302,-0.143840228
"U245X7I_1_1#v11","U245X7I_1_1","v11",289,469,283,0.050601355
"U245X7I_1_1#v12","U245X7I_1_1","v12",441,362,219,-0.179633371
"U245X7I_1_1#v13","U245X7I_1_1","v13",425,278,180,0.152245208
"U246X8I_1_1#v0","U246X8I_1_1","v0",353,299,54,0
"U246X8I_1_1#v1","U246X8I_1_1","v1",288,274,44,0
"U246X8I_1_1#v2","U246X8I_1_1","v2",204,359,1,0.578685267
"U246X8I_1_1#v3","U246X8I_1_1","v3",359,472,357,0
"U246X8I_1_1#v4","U246X8I_1_1","v4",338,489,352,0
"U246X8I_1_1#v5","U246X8I_1_1","v5",199,341,329,0.387371669
"U246X8I_1_1#v6","U246X8I_1_1","v6",180,341,298,0
"U246X8I_1_1#v7","U246X8I_1_1","v7",328,466,296,0
"U246X8I_1_1#v8","U246X8I_1_1","v8",230,384,102,0
"U246X8I_1_1#v9","U246X8I_1_1","v9",208,389,105,0.328567634
"U246X8I_1_1#v10","U246X8I_1_1","v10",247,390,94,0.477874849
"U247X1I_1_1#v0","U247X1I_1_1","v0",516,383,88,-0.474821197
"U247X1I_1_1#v1","U247X1I_1_1","v1",530,395,89,-0.533118222
"U247X1I_1_1#v2","U247X1I_1_1","v2",492,307,67,-0.356948823
"U247X1I_1_1#v3","U247X1I_1_1","v3",516,273,51,-0.226334104
"U247X1I_1_1#v4","U247X1I_1_1","v4",431,310,41,-0.336379227
"U247X1I_1_1#v5","U247X1I_1_1","v5",422,277,9,-0.712514479
"U247X1I_1_1#v6","U247X1I_1_1","v6",421,243,9,0.216274743
"U247X1I_1_1#v7","U247X1I_1_1","v7",518,303,234,-0.209604074
"U247X1I_1_1#v8","U247X1I_1_1","v8",449,325,221,-0.457561475
"U247X1I_1_1#v9","U247X1I_1_1","v9",502,247,219,0.054985725
"U247X1I_1_1#v10","U247X1I_1_1","v10",443,265,185,-0.156972105
"U247X1I_1_1#v11","U247X1I_1_1","v11",337,299,122,0.177070424
"U249X3I_1_1#v0","U249X3I_1_1","v0",366,388,85,0.090225867
"U249X3I_1_1#v1","U249X3I_1_1","v1",321,520,230,-0.004899569
"U249X3I_1_1#v2","U249X3I_1_1","v2",318,538,217,0.35747927
"U249X3I_1_1#v3","U249X3I_1_1","v3",294,520,182,0.131433675
"U249X3I_1_1#v4","U249X3I_1_1","v4",369,352,147,0.171568605
"U249X3I_1_1#v5","U249X3I_1_1","v5",335,355,122,-0.10574997
"U249X3I_1_1#v6","U249X3I_1_1","v6",329,386,103,-0.610908079
"U249X3I_1_1#v7","U249X3I_1_1","v7",355,408,90,0.466985749
"U249X3I_1_1#v8","U249X3I_1_1","v8",317,445,91,-0.109958621
